model,ver_name,brand
A2638,#其他国家和地区 #Rest of the world,apple
A2639,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2640,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2641,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2643,#其他国家和地区 #Rest of the world,apple
A2644,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2645,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2649,#美国 #United States,apple
A2650,#美国 #United States,apple
A2651,#美国 #United States,apple
A2782,#日本 #Japan,apple
A2783,#其他国家和地区 #Rest of the world,apple
A2784,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2785,#中国大陆 #China mainland #,apple
A2881,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2882,#其他国家和地区 #Rest of the world,apple
A2883,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2884,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2885,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2886,#其他国家和地区 #Rest of the world,apple
A2887,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2888,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2889,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2890,#其他国家和地区 #Rest of the world,apple
A2891,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2892,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A2893,"#加拿大, 日本, 墨西哥, 沙特阿拉伯 #Canada, Japan, Mexico, Saudi Arabia",apple
A2894,#其他国家和地区 #Rest of the world,apple
A2895,"#亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯 #Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia",apple
A2896,"#中国大陆 & 港澳 #China mainland, Hong Kong, Macao #",apple
A301OP,#SoftBank,oppo
A680H,魅族 M3E 国际版 #Global,meizu
A680M,#移动版 #1 E China Mobile,meizu
A680Q,#公开版 #1 E China,meizu
ABR-AL00,#,huawei
ABR-AL60,#,huawei
ABR-AL80,#,huawei
ABR-AL90,#,huawei
AC2001,#印度版 #India,oneplus
AC2003,#欧洲版/国际版 #EU / Global,oneplus
